Years,States,Total women with births,Birth rate,General fertility rate,Total fertility rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate
2016,Oregon,45441,11.4,48.9,1.76,152152,179332,331721,176454,89179,72.5,1870,16
2016,Pennsylvania,147204,11.5,50.1,1.80,438993,734865,879948,576244,306882,73.5,6449,16
2016,Rhode Island,11615,11.0,45.5,1.64,38228,54394,86510,49986,26284,75.5,573,15
2016,South Carolina,59397,12.3,52.0,1.87,193001,261469,407381,188968,91205,72.2,2874,19
2016,South Dakota,12609,14.8,67.3,2.42,29288,38576,68600,38308,12512,79.1,612,22
2016,Tennessee,81912,12.5,52.3,1.88,255780,411938,506951,264414,126887,70.6,4629,23
2016,Texas,398001,14.8,59.4,2.14,1448465,1452265,2143658,1170423,488029,68.1,25035,27
2016,Utah,52918,17.9,72.2,2.60,123995,147561,284995,136488,39739,69.1,1383,12
2016,Vermont,5961,9.5,41.9,1.51,17849,30702,46444,31606,15556,77.1,197,9
2016,Virginia,106850,12.9,52.5,1.89,293899,397208,641361,436256,266672,73.7,4214,16
2016,Washington,89634,12.7,53.3,1.92,269861,324241,583333,343826,161015,71.1,2907,14
2016,West Virginia,19174,10.4,47.1,1.69,67051,120792,136618,55904,27124,64.9,966,18
2016,Wisconsin,67581,11.7,51.2,1.84,192705,276799,474509,265983,109358,79.3,2106,11
2016,Wyoming,7687,13.2,58.8,2.12,18849,28364,53395,21143,8909,75.7,321,18
2016,Puerto Rico,32266,9.1,37.5,1.35,149410,189074,279776,180968,61431,56.6,3430,28
2015,United States,4035432,12.7,52.9,1.90,13463371,16352014,25360642,14194504,6975700,71.6,197980,19
2015,Alabama,62458,12.9,53.8,1.94,217561,275888,412552,173766,81966,67.6,3804,24
2015,Alaska,11086,15.1,63.2,2.28,27201,42035,62624,30761,12711,73.9,480,21
2015,Arizona,85255,12.8,55.0,1.98,324735,326198,549075,241309,109039,68.3,4262,19
2015,Arkansas,39015,13.2,56.3,2.03,126841,183153,243080,96764,42586,67.4,2690,28
2015,California,495659,12.9,51.5,1.86,2059363,1820168,3116280,1782191,838131,68,22206,17
2015,Colorado,70351,13.3,54.8,1.97,203687,228281,417141,295981,139646,74.6,2808,17
2015,Connecticut,38667,10.8,45.1,1.62,128157,172784,256556,181935,118347,76,1370,11
2015,Delaware,11207,12.1,50.8,1.83,35611,52266,69754,40186,23005,73.9,427,14
2015,District of Columbia,9071,14.0,45.8,1.65,20463,30364,43018,49708,54422,77,317,16
2015,Florida,214558,10.9,47.7,1.72,757688,1066002,1559733,771124,340579,71.7,9803,17
2015,Georgia,138669,13.9,54.7,1.97,468049,564685,832401,442356,227997,69.7,8029,23
2015,Hawaii,20257,14.4,63.1,2.27,38826,76084,113543,64886,27523,72.4,819,21
2015,Idaho,23639,14.6,63.8,2.30,64330,86784,139573,60673,19363,69.3,1104,20
2015,Illinois,159227,12.4,50.6,1.82,524540,624259,1001754,652877,340651,73.7,7598,18
2015,Indiana,85945,13.1,55.1,1.98,283168,374695,538010,262875,99963,72.5,5062,23
2015,Iowa,40331,13.0,57.3,2.06,103319,134872,274776,140125,50412,79.4,1539,15
2015,Kansas,41356,14.3,61.9,2.23,111361,123931,241541,132925,58066,74.8,2293,23
2015,Kentucky,55759,12.7,53.7,1.93,177810,258767,369933,147860,84491,70.1,3519,25
2015,Louisiana,60331,13.0,53.6,1.93,215487,298015,370574,173743,68809,69.3,3371,22
2015,Maine,13643,10.3,46.1,1.66,38407,73426,103213,57501,23430,75.9,483,12
2015,Maryland,76132,12.8,51.6,1.86,216910,295265,442208,306558,213895,76.6,3461,18
2015,Massachusetts,75363,11.2,45.1,1.62,229505,310243,485004,393736,254198,76.5,2121,9
2015,Michigan,119952,12.1,51.9,1.87,371910,484917,869901,393125,193374,72.9,6093,18
2015,Minnesota,74517,13.8,58.5,2.11,182050,211709,457869,298210,123924,80.9,2886,16
2015,Mississippi,37267,12.5,51.6,1.86,136994,166121,279294,93780,45962,67.5,2816,27
2015,Missouri,76942,12.7,54.1,1.95,232973,312126,496311,254098,125938,74.3,4638,24
2015,Montana,11982,11.8,54.0,1.94,32261,51252,78081,43749,16589,74.5,454,15
2015,Nebraska,27829,14.9,64.4,2.32,69796,76179,161571,89012,35901,78.9,960,15
2015,Nevada,35569,12.7,52.7,1.90,146054,169488,228603,91682,38811,72,1595,19
2015,New Hampshire,14495,10.9,47.1,1.70,39544,65291,102811,66950,32960,76.7,456,10
2015,New Jersey,105536,11.9,49.3,1.77,332710,454472,591607,505077,258391,72.8,2639,9
2015,New Mexico,28086,13.5,58.6,2.11,102215,103503,175319,62917,35490,67.5,2018,29
2015,New York,235901,12.0,47.9,1.73,835593,967608,1434959,1025397,658315,71.1,8136,13
2015,North Carolina,125751,12.8,52.5,1.89,412347,470929,858812,453697,199812,71.7,6595,21
2015,North Dakota,11264,15.6,68.2,2.45,19616,30340,66906,37184,11163,79.6,658,29
2015,Ohio,141813,12.3,52.6,1.89,434642,644303,927500,459697,228874,74.4,7169,19
2015,Oklahoma,52173,13.6,57.9,2.08,166913,227030,310826,144531,51885,69,3349,27
2015,Oregon,46336,11.8,50.2,1.81,154284,183363,330597,171555,83490,72.2,1916,16
2015,Pennsylvania,147562,11.5,49.8,1.79,447422,752985,898951,567528,296135,73.4,7469,18
2015,Rhode Island,11854,11.3,46.0,1.66,39387,54336,88214,50147,25353,76.1,630,17
2015,South Carolina,60976,12.8,53.6,1.93,194390,266518,407204,182901,86487,71.7,3425,22
2015,South Dakota,12255,14.5,65.4,2.35,29649,38928,69920,36942,12089,79.3,699,25
2015,Tennessee,83442,12.8,53.3,1.92,258900,418994,504486,260651,122488,70.5,5218,25
2015,Texas,394467,14.9,59.5,2.14,1456959,1438148,2136332,1136668,461924,68,27893,30
2015,Utah,52838,18.2,73.0,2.63,122668,146524,284861,131926,37549,68.6,1475,13
2015,Vermont,5903,9.4,41.0,1.48,18193,31222,47934,31508,15027,76.9,205,9
2015,Virginia,109077,13.2,53.5,1.92,298037,401467,646767,436827,256850,73.5,4112,15
2015,Washington,89625,12.8,53.6,1.93,270459,328176,590396,330308,151901,71,3226,15
2015,West Virginia,18892,10.2,45.8,1.65,69238,123445,137807,55801,26243,64.5,1069,20
2015,Wisconsin,67476,11.8,50.8,1.83,196304,285453,481347,261636,104834,79,2291,12
2015,Wyoming,7673,13.2,58.6,2.11,18844,29022,53113,21160,8711,75.2,324,19
2015,Puerto Rico,34288,9.6,38.9,1.40,159630,193837,284427,181095,61434,56.2,3830,30
2014,United States,4087727,13.0,53.6,1.93,13658512,16530440,25441044,13963617,6716500,71.6,221286,21
2014,Alabama,63270,13.1,54.3,1.95,222698,277925,415276,170236,79591,67.8,4165,26
2014,Alaska,11319,15.5,64.2,2.31,27893,42112,63417,30857,12091,73.5,489,20
2014,Arizona,86173,13.1,55.9,2.01,325866,325702,550024,235151,104811,68.4,4767,22
2014,Arkansas,38087,12.9,54.9,1.98,130035,188045,242392,94329,39039,68,2901,30
2014,California,500977,13.2,52.3,1.88,2105502,1811499,3119213,1746203,803469,68,24521,19
2014,Colorado,70730,13.6,55.6,2.00,204291,228882,415770,288800,133344,74.5,3096,19
2014,Connecticut,40416,11.3,46.8,1.68,130708,176209,260111,180561,116163,75.9,1462,12
2014,Delaware,11374,12.4,51.4,1.85,36396,52706,70347,39906,21787,73.9,412,14
2014,District of Columbia,8891,14.0,45.8,1.65,21260,29880,43245,49769,49899,76.1,434,21
2014,Florida,214658,11.1,48.1,1.73,766820,1074650,1552302,749412,324078,71.7,10895,19
2014,Georgia,140817,14.2,55.7,2.00,471365,571354,830469,436314,218981,69.7,8472,25
2014,Hawaii,20380,14.6,63.6,2.29,39067,77883,113584,63370,26435,72.4,793,20
2014,Idaho,23905,14.9,64.5,2.32,64980,88200,138559,60523,18249,69.2,1102,20
2014,Illinois,163591,12.7,51.7,1.86,536366,629326,1013464,655007,332622,73.8,8691,20
2014,Indiana,86016,13.1,55.0,1.98,286159,384844,539465,257390,95483,72.4,5778,26
2014,Iowa,40039,13.0,56.8,2.05,104630,136631,276614,137899,48816,79.4,1589,15
2014,Kansas,41814,14.5,62.4,2.25,112211,126166,242643,133239,56112,75.1,2308,23
2014,Kentucky,56529,12.9,54.1,1.95,182609,263492,371614,145694,81696,69.9,4067,29
2014,Louisiana,62046,13.5,55.0,1.98,223364,299845,369249,171092,64806,69.4,3875,25
2014,Maine,14049,10.6,46.9,1.69,38844,77161,104312,56146,22951,76,492,12
2014,Maryland,76881,13.1,52.0,1.87,219989,302405,444920,304192,207033,76.9,3454,18
2014,Massachusetts,77031,11.6,46.1,1.66,232222,313830,486901,392145,246203,76.1,2213,10
2014,Michigan,122603,12.4,52.6,1.89,378057,496359,879179,388281,187676,72.8,6599,19
2014,Minnesota,74381,13.8,58.1,2.09,181661,216292,466295,294776,120225,80.7,3123,18
2014,Mississippi,40275,13.5,55.5,2.00,140025,167132,280664,94047,44020,67.5,3235,31
2014,Missouri,79260,13.1,55.4,1.99,238793,319126,498617,252341,121470,74.5,4990,25
2014,Montana,12352,12.3,55.6,2.00,32515,50594,80646,43568,15033,74.6,540,17
2014,Nebraska,27600,14.9,63.8,2.30,70392,77651,162569,87912,34306,79.3,1088,17
2014,Nevada,37054,13.4,55.4,1.99,147392,171348,224684,89376,36638,72.1,2032,24
2014,New Hampshire,14854,11.2,47.7,1.72,40319,67967,103531,67366,32000,76.8,436,9
2014,New Jersey,106972,12.1,49.7,1.79,336444,466963,596800,500979,252462,72.8,3158,11
2014,New Mexico,28349,13.6,58.7,2.11,103300,104152,177601,62778,35158,67.6,2304,33
2014,New York,241814,12.3,49.0,1.76,850760,984334,1446408,1008003,643842,70.9,9707,15
2014,North Carolina,128220,13.2,53.7,1.93,414258,477710,862083,447471,187851,71.8,8393,26
2014,North Dakota,10420,14.8,64.2,2.31,19821,29658,66726,35467,10753,80.2,571,25
2014,Ohio,143395,12.4,52.8,1.90,440742,660355,938015,453553,221228,74.2,7516,19
2014,Oklahoma,52722,13.8,58.6,2.11,166777,228999,311305,142421,50124,69.2,3765,30
